iB,TC,chr,phase,dali11,dali22,dapi11,lethality
iB_00002,TC000021,LG3,I,20,20,10,Low
iB_00003,TC000029,LG3,I,0,50,10,Low
iB_00004,TC000040,LG3,I,100,100,80,Yes
iB_00005,TC000043,LG3,I,90,100,10,High
iB_00006,TC000047,LG3,I,80,100,0,Low
iB_00007,TC000049,LG3,I,10,100,40,Low
iB_00008,TC000054,LG3,I,10,100,30,Low
iB_00009,TC000056,LG3,I,20,30,10,Low
iB_00010,TC000065,LG3,I,100,100,50,Yes
iB_00011,TC000069,LG3,I,100,100,100,Yes
iB_00012,TC000070,LG3,I,10,30,50,Low
iB_00014,TC000078,LG3,I,0,100,50,Low
iB_00015,TC000082,LG3,I,50,100,10,Low
iB_00016,TC000085,LG3,I,0,0,20,Low
iB_00017,TC000087,LG3,I,30,90,30,Low
iB_00018,TC000088,LG3,I,0,0,100,Low
iB_00019,TC000091,LG3,I,10,10,100,Low
iB_00020,TC000095,LG3,I,0,10,0,Low
iB_00021,TC000101,LG3,I,30,30,0,Low
iB_00022,TC000108,LG3,I,20,100,0,Low
iB_00023,TC000109,LG3,I,30,100,30,Low
iB_00024,TC000114,LG3,I,0,0,50,Low
iB_00025,TC032473,LG3,I,20,80,40,Low
iB_00026,TC000144,LG3,I,100,100,100,Yes
iB_00027,TC000151,LG5,I,10,10,30,Low
iB_00028,TC000158,LG2,I,80,100,40,Low
iB_00029,TC000161,LG2,I,100,100,30,Yes
iB_00030,TC000162,LG2,I,0,20,0,Low
iB_00031,TC000165,LG2,I,100,100,100,Yes
iB_00032,TC000167,LG2,I,100,100,40,Yes
iB_00033,TC000170,LG2,I,0,0,0,Low
iB_00034,TC000175,LG2,I,10,20,10,Low
iB_00035,TC000179,LG2,I,90,90,40,High
iB_00036,TC000182,LG2,I,10,10,100,Low
iB_00037,TC000185,LG2,I,20,100,20,Low
iB_00038,TC000188,LG2,I,10,60,20,Low
iB_00039,TC000192,LG2,I,100,100,60,Yes
iB_00040,TC000196,LG2,I,40,50,10,Low
iB_00041,TC032264,LG2,I,10,10,30,Low
iB_00042,TC032258,LG2,I,0,10,20,Low
iB_00043,TC000209,LG2,I,0,10,20,Low
iB_00044,TC000219,LG2,I,90,100,10,High
iB_00045,TC000220,LG2,I,0,10,20,Low
iB_00046,TC000221,LG2,I,0,0,40,Low
iB_00047,TC000223,LG2,I,60,100,20,Low
iB_00048,TC000228,LG2,I,10,20,20,Low
iB_00049,TC000234,LG2,I,10,10,0,Low
iB_00050,TC000238,LG2,I,100,100,10,Yes
iB_00051,TC000247,LG2,I,0,0,60,Low
iB_00052,TC000249,LG2,I,0,10,20,Low
iB_00053,TC000258,LG2,I,100,100,100,Yes
iB_00054,TC000267,LG2,I,70,100,20,Low
iB_00055,TC000271,LG2,I,100,100,100,Yes
iB_00056,TC000272,LG2,I,20,20,10,Low
iB_00057,TC000275,LG2,I,0,10,40,Low
iB_00058,TC000282,LG2,I,10,10,0,Low
iB_00060,TC000291,LG2,I,20,20,10,Low
iB_00061,TC000292,LG2,I,10,10,30,Low
iB_00062,TC000297,LG2,I,90,100,70,High
iB_00063,TC032227,LG2,I,100,100,100,Yes
iB_00064,TC000302,LG2,I,0,0,10,Low
iB_00065,TC000304,LG2,I,0,0,50,Low
iB_00066,TC000308,LG2,I,20,20,40,Low
iB_00067,TC032222,LG2,I,10,100,0,Low
iB_00068,TC000315,LG2,I,0,10,30,Low
iB_00069,TC000316,LG2,I,10,60,0,Low
iB_00070,TC000317,LG2,I,10,10,0,Low
iB_00072,TC000321,LG2,I,20,30,10,Low
iB_00073,TC000326,LG2,I,0,0,30,Low
iB_00074,TC000331,LG2,I,0,62.5,0,Low
iB_00075,TC000334,LG2,I,0,0,10,Low
iB_00076,TC000335,LG2,I,20,20,30,Low
iB_00077,TC000349,LG2,I,20,20,0,Low
iB_00078,TC000357,LG2,I,20,20,70,Low
iB_00080,TC000373,LG2,I,80,100,60,Low
iB_00081,TC000379,LG2,I,0,0,30,Low
iB_00082,TC032198,LG2,I,60,100,10,Low
iB_00083,TC000382,LG2,I,0,100,0,Low
iB_00084,TC000388,LG2,I,10,10,20,Low
iB_00085,TC000402,LG2,I,0,30,20,Low
iB_00086,TC032188,LG2,I,0,10,0,Low
iB_00087,TC000411,LG2,I,0,10,0,Low
iB_00088,TC000412,LG2,I,0,62.5,50,Low
iB_00089,TC000415,LG2,I,10,20,20,Low
iB_00090,TC000423,LG2,I,0,10,30,Low
iB_00091,TC000430,LG2,I,10,50,20,Low
iB_00092,TC000431,LG2,I,20,20,10,Low
iB_00093,TC000434,LG2,I,60,100,80,Low
iB_00094,TC000442,LG2,I,11.11,11.11,20,Low
iB_00095,TC000444,LG2,I,10,10,20,Low
iB_00096,TC000449,LG2,I,10,10,20,Low
iB_00097,TC000459,LG2,I,0,0,60,Low
iB_00098,TC000462,LG2,I,100,100,20,Yes
iB_00099,TC000463,LG2,I,40,100,10,Low
iB_00100,TC000466,LG2,I,20,20,30,Low
iB_00101,TC000467,LG2,I,30,100,20,Low
iB_00102,TC000470,LG2,I,0,0,40,Low
iB_00103,TC000474,LG2,I,20,20,30,Low
iB_00104,TC000475,LG2,I,10,10,20,Low
iB_00105,TC000476,LG2,II,50,,0,Low
iB_00106,TC000481,LG2,I,80,100,60,Low
iB_00107,TC000487,LG2,I,50,80,70,Low
iB_00108,TC000495,LG2,I,20,20,0,Low
iB_00109,TC032159,LG2,I,20,20,60,Low
iB_00110,TC000504,LG2,I,20,20,10,Low
iB_00111,TC000511,LG2,I,10,10,0,Low
iB_00112,TC000514,LG2,I,30,30,20,Low
iB_00113,TC000515,LG2,I,20,20,40,Low
iB_00114,TC000517,LG2,I,10,20,20,Low
iB_00115,TC000518,LG2,I,0,0,30,Low
iB_00116,TC000520,LG2,I,0,0,40,Low
iB_00117,TC000522,LG2,I,10,10,40,Low
iB_00118,TC000526,LG2,I,10,10,10,Low
iB_00119,TC000529,LG2,I,70,100,60,Low
iB_00120,TC000530,LG2,I,0,0,40,Low
iB_00121,TC000534,LG2,I,0,0,30,Low
iB_00122,TC000537,LG2,I,10,90,100,Low
iB_00123,TC000538,LG2,I,70,100,20,Low
iB_00124,TC000539,LG2,I,30,85.71,30,Low
iB_00125,TC000542,LG2,I,80,100,100,Low
iB_00126,TC000558,LG2,I,30,30,30,Low
iB_00127,TC000561,LG2,II,60,,20,Low
iB_00128,TC000567,LG2,I,10,10,20,Low
iB_00129,TC000570,LG2,I,20,20,50,Low
iB_00130,TC000571,LG2,I,20,20,20,Low
iB_00131,TC030994,LG2,I,10,10,40,Low
iB_00132,TC000590,LG2,I,0,0,20,Low
iB_00133,TC000591,LG2,I,10,100,50,Low
iB_00134,TC000592,LG2,I,33.33,33.33,20,Low
iB_00137,TC000982,LG2,I,20,50,20,Low
iB_00138,TC000605,LG2,I,11.11,11.11,30,Low
iB_00139,TC000608,LG2,I,0,0,40,Low
iB_00140,TC000610,LG2,I,0,10,20,Low
iB_00141,TC000614,LG2,I,100,100,100,Yes
iB_00142,TC000616,LG2,I,11.11,11.11,30,Low
iB_00143,TC000618,LG2,I,30,60,40,Low
iB_00144,TC000620,LG2,I,10,100,30,Low
iB_00145,TC000630,LG2,I,22.22,22.22,30,Low
iB_00146,TC000634,LG2,I,90,90,40,High
iB_00147,TC030993,LG2,I,10,10,60,Low
iB_00148,TC000641,LG2,I,100,100,100,Yes
iB_00149,TC000642,LG2,II,60,,40,Low
iB_00151,TC000678,LG2,I,30,30,20,Low
iB_00152,TC000685,LG2,I,0,10,30,Low
iB_00153,TC000686,LG2,I,0,0,60,Low
iB_00154,TC000687,LG2,II,40,,20,Low
iB_00155,TC000689,LG2,I,11.11,11.11,40,Low
iB_00156,TC000693,LG2,I,30,42.86,30,Low
iB_00157,TC000707,LG2,I,20,100,20,Low
iB_00158,TC032080,LG2,I,10,10,30,Low
iB_00159,TC000719,LG2,I,40,100,40,Low
iB_00160,TC000720,LG2,II,60,,30,Low
iB_00163,TC000726,LG2,I,0,0,60,Low
iB_00164,TC000737,LG2,I,20,100,30,Low
iB_00165,TC000739,LG2,I,77.78,100,60,Low
iB_00166,TC000748,LG2,I,30,88.89,40,Low
iB_00167,TC000749,LG2,I,70,100,20,Low
iB_00168,TC000753,LG2,I,0,0,40,Low
iB_00169,TC000759,LG2,I,0,90,20,Low
iB_00170,TC000771,LG2,I,37.5,100,10,Low
iB_00171,TC000782,LG2,I,10,10,40,Low
iB_00172,TC000798,LG2,I,20,20,20,Low
iB_00173,TC000805,LG2,I,0,0,20,Low
iB_00174,TC000807,LG2,I,0,0,20,Low
iB_00176,TC032056,LG2,I,10,30,20,Low
iB_00177,TC000821,LG2,I,0,0,10,Low
iB_00178,TC000831,LG2,I,10,42.86,40,Low
iB_00179,TC000840,LG2,I,10,10,40,Low
iB_00180,TC000847,LG2,I,0,20,60,Low
iB_00181,TC000855,LG2,I,100,100,20,Yes
iB_00182,TC000861,LG2,I,0,10,50,Low
iB_00183,TC000876,LG2,I,10,10,20,Low
iB_00184,TC000880,LG2,II,40,,50,Low
iB_00185,TC000885,LG2,I,30,30,30,Low
iB_00186,TC000917,LG2,I,30,100,40,Low
iB_00187,TC000929,LG2,I,30,30,50,Low
iB_00188,TC000930,LG2,I,20,80,20,Low
iB_00189,TC000932,LG2,I,10,40,40,Low
iB_00193,TC000941,LG2,I,0,10,30,Low
iB_00194,TC032116,LG2,I,0,0,40,Low
iB_00195,TC000949,LG2,I,10,20,40,Low
iB_00196,TC000956,LG2,I,25,100,50,Low
iB_00197,TC000960,LG2,I,20,20,50,Low
iB_00198,TC000963,LG2,I,20,20,40,Low
iB_00199,TC000967,LG2,I,30,50,10,Low
iB_00200,TC000970,LG2,I,20,30,0,Low
iB_00201,TC000973,LG2,II,40,,100,Low
iB_00202,TC000986,LG2,I,77.78,100,100,Low
iB_00203,TC000992,LG2,I,60,100,40,Low
iB_00204,TC032132,LG2,I,10,10,40,Low
iB_00205,TC001000,LG2,II,60,,20,Low
iB_00206,TC030995,LG2,I,11.11,11.11,20,Low
iB_00207,TC001020,LG2,I,0,11.11,40,Low
iB_00208,TC001032,LG2,I,0,20,20,Low
iB_00209,TC001051,LG2,I,60,60,50,Low
iB_00210,TC034557,LG2,I,30,30,10,Low
iB_00211,TC001071,LG2,I,10,20,10,Low
iB_00212,TC001083,LG2,I,20,20,0,Low
iB_00213,TC001093,LG2,I,10,66.67,30,Low
iB_00214,TC001110,LG2,II,50,,20,Low
iB_00215,TC001119,LG2,I,0,10,50,Low
iB_00216,TC001128,LG2,I,20,40,20,Low
iB_00217,TC032179,LG2,I,20,20,20,Low
iB_00218,TC001142,LG2,I,55.56,100,10,Low
iB_00219,TC032187,LG2,I,40,40,0,Low
iB_00220,TC001154,LG2,I,0,11.11,10,Low
iB_00221,TC001161,LG2,I,10,10,40,Low
iB_00222,TC001162,LG2,I,30,30,0,Low
iB_00223,TC001164,LG2,I,0,10,30,Low
iB_00224,TC032207,LG2,II,40,,0,Low
iB_00225,TC001189,LG2,I,20,20,40,Low
iB_00226,TC001193,LG2,I,20,33.33,30,Low
iB_00227,TC032209,LG2,I,10,83.33,40,Low
iB_00228,TC001209,LG2,I,0,30,20,Low
iB_00229,TC001210,LG2,I,10,10,50,Low
iB_00230,TC001214,LG2,I,20,20,30,Low
iB_00231,TC032214,LG2,I,20,20,0,Low
iB_00232,TC001259,LG2,I,0,20,60,Low
iB_00233,TC001261,LG2,II,66.66666667,,30,Low
iB_00234,TC001262,LG2,I,0,0,40,Low
iB_00235,TC001264,LG2,I,0,10,30,Low
iB_00236,TC001287,LG2,I,0,20,40,Low
iB_00237,TC001292,LG2,I,90,100,100,High
iB_00238,TC001320,LG2,I,20,20,50,Low
iB_00239,TC001323,LG2,I,0,0,30,Low
iB_00240,TC001328,LG2,I,80,75,70,Low
iB_00241,TC001339,LG2,I,30,30,50,Low
iB_00242,TC000193,LG2,I,40,100,60,Low
iB_00243,TC001356,LG2,I,0,100,50,Low
iB_00244,TC001357,LG2,II,0,,0,Low
iB_00245,TC001362,LG2,I,20,20,10,Low
iB_00246,TC001366,LG2,II,70,,70,Low
iB_00247,TC001374,LG2,I,11.11,11.11,10,Low
iB_00251,TC001450,LGX,I,10,20,30,Low
iB_00252,TC001458,LGX,I,50,50,20,Low
iB_00253,TC001467,LGX,I,40,100,100,Low
iB_00256,TC001510,LG10,I,50,50,50,Low
iB_00257,TC001525,LG10,I,10,66.67,50,Low
iB_00258,TC001541,LG10,I,40,100,10,Low
iB_00259,TC001555,LG3,I,22.22,22.22,40,Low
iB_00260,TC001559,LG3,I,20,30,40,Low
iB_00261,TC001563,LG3,I,30,30,70,Low
iB_00262,TC001565,LG3,I,44.44,44.44,50,Low
iB_00263,TC001569,LG3,I,0,0,40,Low
iB_00264,TC001570,LG3,I,20,30,90,Low
iB_00265,TC001572,LG3,I,50,50,50,Low
iB_00266,TC001579,LG3,I,40,40,70,Low
iB_00267,TC001594,LGX,I,40,40,60,Low
iB_00268,TC001600,LGX,I,90,90,100,High
iB_00270,TC001606,LGX,I,10,10,20,Low
iB_00271,TC001616,LGX,I,0,20,0,Low
iB_00272,TC001622,LGX,I,0,20,10,Low
iB_00273,TC001623,LGX,I,30,40,20,Low
iB_00274,TC031483,LGX,II,10,,0,Low
iB_00275,TC001634,LGX,I,10,10,20,Low
iB_00276,TC001643,LG9,I,11.11,11.11,0,Low
iB_00277,TC001668,LG9,I,50,50,40,Low
iB_00278,TC001670,LG9,I,0,0,60,Low
iB_00279,TC001676,LG9,I,20,20,60,Low
iB_00281,TC031054,LG3,I,30,37.5,20,Low
iB_00282,TC001697,LGX,I,10,50,30,Low
iB_00283,TC001698,LGX,II,30,,0,Low
iB_00284,TC001709,LGX,I,11.11,44.44,33.33,Low
iB_00285,TC001711,LGX,I,0,0,50,Low
iB_00286,TC001713,LGX,I,30,40,40,Low
iB_00287,TC001714,LGX,II,10,,10,Low
iB_00288,TC001715,LGX,II,60,,10,Low
iB_00289,TC001720,LGX,I,10,75,40,Low
iB_00290,TC001733,LGX,I,60,100,30,Low
iB_00291,TC034534,LGX,I,20,100,30,Low
iB_00292,TC001742,LGX,II,100,,20,Yes
iB_00293,TC001744,LGX,II,40,,0,Low
iB_00295,TC001751,LGX,I,80,85.71,20,Low
iB_00296,TC001752,LGX,I,20,40,0,Low
iB_00297,TC001754,LGX,I,25,37.5,0,Low
iB_00298,TC001756,LGX,I,10,10,10,Low
iB_00299,TC001761,LGX,I,11.11,22.22,0,Low
iB_00300,TC001765,LGX,I,40,100,30,Low
iB_00301,TC034532,LGX,I,11.11,22.22,20,Low
iB_00302,TC001770,LGX,I,90,100,44.44,High
iB_00303,TC001771,LGX,I,30,40,10,Low
iB_00304,TC001775,LGX,II,10,,0,Low
iB_00306,TC003833,LG3,I,20,20,20,Low
iB_00308,TC001885,LGX,I,10,10,30,Low
iB_00309,TC001889,LGX,II,50,,0,Low
iB_00311,TC001922,LG9,I,0,0,10,Low
iB_00312,TC034271,LG9,I,10,30,10,Low
iB_00313,TC001933,LG9,I,20,20,0,Low
iB_00314,TC034265,LG9,I,30,30,10,Low
iB_00315,TC034270,LG9,I,10,10,0,Low
iB_00316,TC034858,LG9,I,20,100,90,Low
iB_00323,TC002075,LG10,I,0,10,40,Low
iB_00324,TC002082,LG10,I,10,30,30,Low
iB_00325,TC002088,LG10,I,40,100,40,Low
iB_00326,TC031642,LG10,I,0,10,10,Low
iB_00328,TC034617,LG3,I,20,100,70,Low
iB_00329,TC002125,LG3,I,0,0,10,Low
iB_00330,TC002126,LG3,I,10,10,40,Low
iB_00331,TC002130,LG3,I,50,100,30,Low
iB_00332,TC002132,LG3,I,0,0,60,Low
iB_00333,TC002137,LG3,I,0,10,20,Low
iB_00334,TC002141,LG3,I,0,100,0,Low
iB_00335,TC002147,LG3,II,0,,0,Low
iB_00336,TC002149,LG3,I,20,30,20,Low
iB_00340,TC002174,LG8,I,0,0,20,Low
iB_00341,TC002177,LG8,I,10,10,10,Low
iB_00342,TC002185,LG8,I,0,0,20,Low
iB_00343,TC031262,LG8,I,10,10,0,Low
iB_00344,TC002193,LG8,I,20,20,10,Low
iB_00345,TC002220,LG8,I,10,20,10,Low
iB_00346,TC031127,LG5,I,20,20,10,Low
iB_00361,TC002389,LG3,I,10,10,30,Low
iB_00362,TC002390,LG3,I,10,100,10,Low
iB_00363,TC002392,LG3,I,20,85.71,0,Low
iB_00364,TC002398,LG3,I,10,10,50,Low
iB_00365,TC002403,LG3,I,0,30,0,Low
iB_00366,TC002407,LG3,I,10,100,0,Low
iB_00367,TC032683,LG3,I,0,100,10,Low
iB_00368,TC002415,LG3,I,30,100,50,Low
iB_00369,TC002420,LG3,I,10,100,20,Low
iB_00370,TC002425,LG3,I,70,100,100,Low
iB_00371,TC002426,LG3,I,10,20,0,Low
iB_00372,TC002432,LG3,I,0,100,0,Low
iB_00373,TC002433,LG3,I,20,90,10,Low
iB_00375,TC002441,LG3,II,30,,0,Low
iB_00376,TC002445,LG3,I,60,100,90,Low
iB_00377,TC002446,LG3,I,11.11,100,33.33,Low
iB_00378,TC002462,LG3,I,10,100,10,Low
iB_00379,TC002463,LG3,I,30,100,0,Low
iB_00380,TC002464,LG3,I,10,10,0,Low
iB_00381,TC002467,LG3,I,0,0,10,Low
iB_00382,TC002468,LG3,I,0,0,0,Low
iB_00383,TC002471,LG3,I,0,0,30,Low
iB_00384,TC002472,LG3,I,10,10,10,Low
iB_00385,TC002476,LG3,I,100,100,90,Yes
iB_00387,TC002490,LG3,I,10,20,0,Low
iB_00388,TC002493,LG3,I,10,10,20,Low
iB_00389,TC002496,LG3,I,20,0,100,Low
iB_00390,TC002501,LG3,I,25,100,20,Low
iB_00391,TC002504,LG3,I,20,20,0,Low
iB_00392,TC002506,LG3,I,40,40,10,Low
iB_00393,TC002520,LG3,I,10,10,10,Low
iB_00394,TC002522,LG3,I,40,40,30,Low
iB_00396,TC002527,LG3,I,30,30,20,Low
iB_00397,TC002529,LG3,I,100,100,0,Yes
iB_00398,TC002530,LG3,I,10,100,30,Low
iB_00399,TC002540,LG3,I,60,100,100,Low
iB_00400,TC002547,LG3,I,10,50,0,Low
iB_00401,TC002553,LG3,II,60,,10,Low
iB_00402,TC002561,LG3,I,20,20,10,Low
iB_00403,TC002569,LG3,I,20,100,10,Low
iB_00404,TC002574,LG3,I,100,100,100,Yes
iB_00405,TC002588,LG3,I,20,20,30,Low
iB_00406,TC002590,LG3,I,0,20,40,Low
iB_00407,TC002591,LG3,I,10,10,40,Low
iB_00408,TC032572,LG3,I,10,10,10,Low
iB_00409,TC002597,LG3,I,0,0,0,Low
iB_00411,TC002601,LG3,I,100,100,100,Yes
iB_00412,TC002608,LG3,I,0,0,20,Low
iB_00413,TC002610,LG3,I,0,100,0,Low
iB_00414,TC002616,LG3,I,10,20,30,Low
iB_00415,TC002624,LG3,I,30,30,20,Low
iB_00416,TC002625,LG3,I,10,10,0,Low
iB_00417,TC002629,LG3,I,30,30,10,Low
iB_00418,TC002636,LG3,I,30,30,20,Low
iB_00419,TC002647,LG3,I,10,30,0,Low
iB_00421,TC002652,LG3,I,0,10,0,Low
iB_00423,TC002669,LG3,I,10,80,0,Low
iB_00424,TC002672,LG3,I,11.11,11.11,20,Low
iB_00425,TC032506,LG3,I,20,20,30,Low
iB_00426,TC002712,LG3,I,10,10,30,Low
iB_00427,TC002717,LG3,I,10,10,0,Low
iB_00428,TC002719,LG3,I,40,50,40,Low
iB_00429,TC002722,LG3,I,10,30,40,Low
iB_00430,TC031046,LG3,I,0,75,0,Low
iB_00431,TC002732,LG3,I,10,10,0,Low
iB_00432,TC032487,LG3,I,20,20,0,Low
iB_00433,TC002747,LG3,I,10,10,10,Low
iB_00434,TC002761,LG3,II,40,,30,Low
iB_00435,TC002762,LG3,I,30,30,80,Low
iB_00436,TC034599,LG3,I,30,30,10,Low
iB_00437,TC002767,LG3,II,20,,10,Low
iB_00438,TC002773,LG3,I,10,10,30,Low
iB_00439,TC032479,LG3,I,10,10,30,Low
iB_00440,TC034595,LG3,I,50,100,50,Low
iB_00441,TC002784,LG3,I,20,100,30,Low
iB_00442,TC002786,LG3,I,0,0,0,Low
iB_00443,TC002789,LG3,I,10,10,10,Low
iB_00444,TC002790,LG3,I,0,0,10,Low
iB_00445,TC002791,LG3,I,0,100,30,Low
iB_00446,TC002792,LG3,I,0,0,10,Low
iB_00447,TC002805,LG3,I,100,100,0,Yes
iB_00448,TC002817,LG3,I,50,100,70,Low
iB_00449,TC031036,LG3,I,0,0,70,Low
iB_00450,TC002828,LG3,I,20,20,10,Low
iB_00451,TC002832,LG3,I,0,0,0,Low
iB_00455,TC002851,LG3,I,30,100,40,Low
iB_00456,TC002852,LG3,I,100,100,10,Yes
iB_00457,TC002857,LG3,I,20,20,90,Low
iB_00458,TC032418,LG3,I,20,100,100,Low
iB_00459,TC002864,LG3,I,100,100,10,Yes
iB_00460,TC002875,LG3,I,30,100,50,Low
iB_00461,TC002876,LG3,I,60,100,60,Low
iB_00462,TC002881,LG3,I,100,100,100,Yes
iB_00463,TC002887,LG3,I,20,100,20,Low
iB_00464,TC002894,LG3,I,10,10,30,Low
iB_00465,TC002899,LG3,I,0,0,10,Low
iB_00466,TC002911,LG3,I,20,40,0,Low
iB_00467,TC002915,LG3,I,100,100,70,Yes
iB_00468,TC002919,LG3,I,70,100,40,Low
iB_00469,TC002920,LG3,I,20,40,20,Low
iB_00470,TC002924,LG3,I,0,11.11,0,Low
iB_00471,TC002925,LG3,I,10,20,50,Low
iB_00472,TC002933,LG3,I,100,100,100,Yes
iB_00473,TC002936,LG3,I,20,30,20,Low
iB_00474,TC034585,LG3,I,0,0,0,Low
iB_00475,TC002948,LG3,I,60,100,20,Low
iB_00476,TC002951,LG3,I,90,100,90,High
iB_00477,TC002952,LG3,I,0,0,10,Low
iB_00478,TC002954,LG3,I,0,0,0,Low
iB_00479,TC002955,LG3,I,0,0,40,Low
iB_00480,TC002956,LG3,I,10,10,30,Low
iB_00481,TC002960,LG3,I,10,10,10,Low
iB_00482,TC032392,LG3,I,0,10,30,Low
iB_00483,TC002963,LG3,I,50,90,100,Low
iB_00485,TC002966,LG3,I,0,0,60,Low
iB_00486,TC002972,LG3,I,0,50,60,Low
iB_00487,TC002976,LG3,I,40,100,40,Low
iB_00488,TC002979,LG3,I,80,87.5,20,Low
iB_00489,TC002983,LG3,I,0,100,0,Low
iB_00490,TC002987,LG3,I,20,20,10,Low
iB_00491,TC002988,LG3,I,0,10,20,Low
iB_00492,TC032375,LG3,I,30,30,0,Low
iB_00493,TC002991,LG3,I,40,40,40,Low
iB_00494,TC002992,LG3,I,0,0,20,Low
iB_00495,TC002993,LG3,I,100,100,88.89,Yes
iB_00496,TC002995,LG3,I,10,100,40,Low
iB_00497,TC003004,LG3,I,10,100,60,Low
iB_00498,TC003006,LG3,I,0,10,10,Low
iB_00499,TC003007,LG3,I,90,100,30,High
iB_00500,TC003010,LG3,I,10,10,20,Low
iB_00501,TC003016,LG3,I,100,100,100,Yes
iB_00502,TC032364,LG3,I,0,0,0,Low
iB_00503,TC003020,LG3,I,100,100,100,Yes
iB_00504,TC003025,LG3,I,20,100,60,Low
iB_00505,TC003029,LG3,I,0,70,30,Low
iB_00506,TC003035,LG3,II,70,,40,Low
iB_00507,TC003063,LG3,I,0,70,40,Low
iB_00508,TC003064,LG3,I,0,0,30,Low
iB_00510,TC003070,LG3,I,0,90,20,Low
iB_00511,TC003078,LG3,I,90,100,30,High
iB_00512,TC003079,LG3,I,100,100,100,Yes
iB_00513,TC003086,LG3,I,20,30,20,Low
iB_00514,TC003094,LG3,I,20,100,50,Low
iB_00516,TC003103,LG3,I,10,20,10,Low
iB_00517,TC032318,LG3,II,70,,50,Low
iB_00518,TC003116,LG3,I,10,10,20,Low
iB_00519,TC003122,LG3,I,0,20,80,Low
iB_00520,TC003123,LG3,I,20,30,10,Low
iB_00521,TC003132,LG3,I,30,100,30,Low
iB_00522,TC003143,LG3,I,10,30,40,Low
iB_00523,TC003148,LG3,I,10,30,0,Low
iB_00525,TC003159,LG3,I,30,30,0,Low
iB_00526,TC003178,LG3,I,10,10,20,Low
iB_00527,TC003180,LG3,I,10,10,20,Low
iB_00528,TC032290,LG3,I,0,0,10,Low
iB_00529,TC003201,LG3,I,20,50,0,Low
iB_00530,TC003204,LG3,I,60,100,0,Low
iB_00531,TC003207,LG3,I,10,100,20,Low
iB_00532,TC003209,LG3,II,30,,40,Low
iB_00533,TC003211,LG3,I,10,10,0,Low
iB_00534,TC003212,LG3,I,40,100,40,Low
iB_00535,TC003213,LG3,I,10,10,0,Low
iB_00536,TC003216,LG3,I,0,0,30,Low
iB_00537,TC003217,LG3,I,10,10,20,Low
iB_00538,TC032285,LG3,I,40,40,20,Low
iB_00540,TC003250,LG3,I,20,70,10,Low
iB_00541,TC032291,LG3,I,10,100,10,Low
iB_00542,TC003257,LG3,I,0,10,0,Low
iB_00543,TC032293,LG3,I,0,0,60,Low
iB_00544,TC031020,LG3,I,10,30,10,Low
iB_00545,TC003275,LG3,I,10,10,20,Low
iB_00546,TC003280,LG3,I,0,0,0,Low
iB_00547,TC003289,LG3,I,20,30,0,Low
iB_00548,TC003290,LG3,I,70,100,50,Low
iB_00549,TC031022,LG3,I,40,80,30,Low
iB_00551,TC003310,LG3,I,0,0,20,Low
iB_00552,TC003322,LG3,I,50,90,30,Low
iB_00553,TC003324,LG3,I,30,30,10,Low
iB_00555,TC003332,LG3,I,50,88.89,10,Low
iB_00556,TC003334,LG3,I,0,10,10,Low
iB_00557,TC003342,LG3,I,0,100,10,Low
iB_00558,TC032324,LG3,I,0,0,20,Low
iB_00559,TC003347,LG3,I,0,20,20,Low
iB_00560,TC003367,LG3,I,100,100,90,Yes
iB_00561,TC003368,LG3,I,10,10,0,Low
iB_00562,TC003375,LG3,I,0,0,0,Low
iB_00563,TC003392,LG3,I,100,100,70,Yes
iB_00564,TC003400,LG3,I,10,10,0,Low
iB_00565,TC003402,LG3,I,20,20,0,Low
iB_00566,TC003408,LG3,I,10,30,10,Low
iB_00567,TC003425,LG3,I,0,20,10,Low
iB_00568,TC003435,LG3,I,0,10,0,Low
iB_00569,TC003438,LG3,I,0,0,20,Low
iB_00570,TC003446,LG3,I,10,10,40,Low
iB_00571,TC003450,LG3,I,20,30,40,Low
iB_00572,TC032380,LG3,I,10,60,10,Low
iB_00573,TC003474,LG3,I,60,100,50,Low
iB_00574,TC003486,LG3,I,10,10,20,Low
iB_00575,TC003493,LG3,I,50,100,90,Low
iB_00576,TC003499,LG3,I,10,10,10,Low
iB_00577,TC003500,LG3,I,30,30,0,Low
iB_00578,TC003501,LG3,I,20,20,40,Low
iB_00579,TC003502,LG3,I,10,50,40,Low
iB_00580,TC003503,LG3,I,0,20,10,Low
iB_00581,TC003504,LG3,I,0,30,40,Low
iB_00582,TC003505,LG3,I,10,20,0,Low
iB_00583,TC003506,LG3,I,20,40,10,Low
iB_00584,TC003507,LG3,I,0,20,30,Low
iB_00585,TC003508,LG3,I,10,88.89,50,Low
iB_00586,TC003509,LG3,II,55.55555556,,50,Low
iB_00587,TC003510,LG3,I,10,10,20,Low
iB_00588,TC003511,LG3,I,70,100,40,Low
iB_00589,TC003512,LG3,I,20,100,10,Low
iB_00590,TC003513,LG3,I,30,30,20,Low
iB_00591,TC003514,LG3,I,10,30,0,Low
iB_00592,TC003515,LG3,I,0,90,30,Low
iB_00593,TC003516,LG3,I,0,10,70,Low
iB_00594,TC003637,LG3,I,0,10,30,Low
iB_00595,TC003641,LG3,I,10,60,40,Low
iB_00596,TC003642,LG3,I,30,40,0,Low
iB_00597,TC003648,LG3,I,20,30,10,Low
