OrthoID,seq_id,sample,gender,species,chrom_num,chrom_name,Current_TMM,positive_robust_TMM
OG0013800,T_conf_DN2067_c0_g1_i2.p2.p1,T_conf_F2,Female,T_conf,LG2,"LG2,Neo-X",14.23491982,0.8298485009011461
OG0012006,T_conf_DN2067_c1_g1_i3.p1.p1,T_conf_F2,Female,T_conf,LG10,Autosome,12.4256974,0.7340746027995879
OG0011814,T_conf_DN2069_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG3,Autosome,18.56181041,1.0588989337734358
OG0013467,T_conf_DN2070_c0_g1_i10.p2.p1,T_conf_F2,Female,T_conf,LG8,Autosome,2.44684683,0.2058292046125278
OG0011392,T_conf_DN2070_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,2.65693651,0.21695061643126312
OG0012652,T_conf_DN2071_c1_g1_i4.p1.p1,T_conf_F2,Female,T_conf,LG3,Autosome,3.316836813,0.2518834271669987
OG0010187,T_conf_DN2074_c0_g1_i1.p2.p1,T_conf_F2,Female,T_conf,LG3,Autosome,27.19331369,1.515820485520504
OG0014490,T_conf_DN20762_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,3.17650699,0.24445485784349247
OG0012458,T_conf_DN2076_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG7,Autosome,9.705825757,0.5900941243872102
OG0013642,T_conf_DN20806_c0_g1_i3.p1.p1,T_conf_F2,Female,T_conf,LG3,Autosome,7.425503191,0.46938183458772387
OG0013618,T_conf_DN2082_c0_g1_i11.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,11.6772884,0.6944564516469568
OG0013619,T_conf_DN2082_c0_g1_i2.p2.p1,T_conf_F2,Female,T_conf,LG9,Autosome,11.45400186,0.6826364442819091
OG0012567,T_conf_DN2082_c1_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG7,Autosome,36.71303357,2.0197611130871787
OG0010704,T_conf_DN20844_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG3,Autosome,31.49565343,1.7435712823833047
OG0013983,T_conf_DN2087_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,16.83855004,0.9676755655162408
OG0013889,T_conf_DN20883_c0_g1_i1.p1.p1,T_conf_F2,Female,T_conf,LG7,Autosome,0.0,0.07630170352919452
OG0013891,T_conf_DN2089_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG5,Autosome,34.8835344,1.922913834860069
OG0015147,T_conf_DN20952_c0_g2_i1.p1.p1,T_conf_F2,Female,T_conf,LG2,"LG2,Neo-X",15.44604494,0.8939612227803707
OG0010678,T_conf_DN2095_c0_g1_i2.p1.p1,T_conf_F2,Female,T_conf,LG8,Autosome,1.851650472,0.17432159409910586
OG0010225,T_conf_DN2096_c0_g1_i10.p3.p1,T_conf_F2,Female,T_conf,LG4,Autosome,2.414456353,0.20411456620800322
OG0014662,T_conf_DN2098_c0_g1_i6.p1.p1,T_conf_F2,Female,T_conf,LG9,Autosome,13.50664349,0.791296102783508
