OrthoID,species,gender,chrom_num,chrom_name,Current_TMM_mean,Current_TMM_sem,positive_robust_TMM_mean,positive_robust_TMM_sem
OG0000073,G_corn,Female,LG10,Autosome,42.72275562,4.2663864700000005,2.762677782471636,0.26960430844808936
OG0000073,G_corn,Male,LG10,Autosome,63.640458935,0.5782845650000024,4.08452309025569,0.036543339739456115
OG0000073,T_brev,Female,LG10,Autosome,0.0388228165,0.0388228165,0.12291157813058154,0.0021032579992315455
OG0000073,T_brev,Male,LG10,Autosome,0.4373459835,0.0014456774999999783,0.14450189831953109,7.832076702069674e-05
OG0000073,T_cast,Female,LG10,Autosome,59.402622480000005,23.64835748000001,2.594921562319536,1.0290648225854642
OG0000073,T_cast,Male,LG10,Autosome,50.112779415,6.651281845,2.1906714695333447,0.2894323708350354
OG0000073,T_conf,Female,LG10,Autosome,0.124615284,0.124615284,0.0828984001983153,0.0065966966691207995
OG0000073,T_conf,Male,LG10,Autosome,0.079000433,0.079000433,0.08048370975268634,0.004182006223491842
OG0000073,T_frem,Female,LG10,Autosome,39.114014465,3.938724915,1.9764578599927636,0.19442124524743537
OG0000073,T_frem,Male,LG10,Autosome,56.1787149,4.193673990000001,2.8187965304878952,0.20700590594496504
OG0000903,G_corn,Female,LG4,Autosome,12.747239277999999,3.7867382619999987,0.8684451782323618,0.23929406245290952
OG0000903,G_corn,Male,LG4,Autosome,6.90179604,1.8776907720000002,0.4990560727597982,0.11865627402114337
OG0000903,T_brev,Female,LG4,Autosome,8.270263926,0.257626707,0.5688566671160529,0.01395713864071213
OG0000903,T_brev,Male,LG4,Autosome,8.670428826,1.1734329290000005,0.5905359295399084,0.0635716935807821
OG0000903,T_cast,Female,LG4,Autosome,8.711503226,1.881950994,0.3890834745837234,0.0818936185057681
OG0000903,T_cast,Male,LG4,Autosome,15.317329075,3.2984676650000004,0.6765378151687194,0.14353373359472385
OG0000903,T_conf,Female,LG4,Autosome,9.486797676,1.6551763239999995,0.5784995449263421,0.08761923732676702
OG0000903,T_conf,Male,LG4,Autosome,7.7765104835,1.2866868345000002,0.48796293124735896,0.06811269438946016
OG0000903,T_frem,Female,LG4,Autosome,18.787804865,0.6070845950000008,0.9731263080627469,0.029966587024378488
OG0000903,T_frem,Male,LG4,Autosome,24.36909741,4.09279085,1.2486271033979617,0.20202616602238876
OG0004918,G_corn,Female,LG2,"LG2,Neo-X",0.049059688000000004,0.029686062,0.06601343629230524,0.0018759412144997538
OG0004918,G_corn,Male,LG2,"LG2,Neo-X",0.3685972625,0.009406629500000027,0.0862058655065888,0.0005944299371394984
OG0004918,T_brev,Female,LG2,"LG2,Neo-X",0.371102217,0.169637955,0.14091308781191755,0.009190275667584041
OG0004918,T_brev,Male,LG2,"LG2,Neo-X",0.0,0.0,0.12080832013135,0.0
OG0004918,T_cast,Female,LGX,X,0.2993156955,0.2993156955,0.02302480535264435,0.01302480535264435
OG0004918,T_cast,Male,LGX,X,0.0,0.0,0.01,0.0
OG0004918,T_conf,Female,LG9,Autosome,0.0,0.0,0.0763017035291945,0.0
OG0004918,T_conf,Male,LG9,Autosome,0.111347067,0.111347067,0.08219602726235131,0.0058943237331568026
OG0004918,T_frem,Female,LG5,Autosome,0.14604995,0.14604995,0.05294191276034035,0.00720923998504875
OG0004918,T_frem,Male,LG5,Autosome,0.0748077125,0.0748077125,0.049425291308505995,0.0036926185332143997
OG0006441,G_corn,Female,LG2,"LG2,Neo-X",17.530947079999997,1.8954649099999985,1.1707403975812873,0.11977946907565773
OG0006441,G_corn,Male,LG2,"LG2,Neo-X",18.664817235,5.4934816249999985,1.2423926684569502,0.34714771502648456
