OrthoID,species,gender,chrom_num,chrom_name,TMM,ancestral_node,ACE,TMM_log2(Current:Ancestral),TMM(Current:Ancestral)
OG0000073,G_corn,Male,LG10,Autosome,63.640458935,A_MRCA,34.1423565839457,0.8983815995856753,1.863973823204834
OG0000073,T_brev,Male,LG10,Autosome,0.4373459835,B_Tbrev_anc,25.5595030591422,-5.8689409322592025,0.017110895407004743
OG0000073,T_conf,Male,LG10,Autosome,0.079000433,C_Tconf_anc,26.5792252696097,-8.394222777563225,0.0029722624417622863
OG0000073,T_cast,Male,LG10,Autosome,50.112779415,D_Tfree-Tcast_anc,50.0248581698566,0.0025333846495803843,1.001757551112786
OG0000073,T_frem,Male,LG10,Autosome,56.1787149,D_Tfree-Tcast_anc,50.0248581698566,0.16737845106971572,1.123015975562556
OG0000903,G_corn,Male,LG4,Autosome,6.90179604,A_MRCA,10.2350783235042,-0.5684783971819536,0.6743276232826151
OG0000903,T_brev,Male,LG4,Autosome,8.670428826,B_Tbrev_anc,11.2049398168187,-0.369959646177651,0.7738041406510386
OG0000903,T_conf,Male,LG4,Autosome,7.7765104835,C_Tconf_anc,12.3921608176977,-0.6722329398990113,0.6275346646885085
OG0000903,T_cast,Male,LG4,Autosome,15.317329075,D_Tfree-Tcast_anc,18.9679045529753,-0.30839555579677475,0.8075393374223474
OG0000903,T_frem,Male,LG4,Autosome,24.36909741,D_Tfree-Tcast_anc,18.9679045529753,0.3614925088064069,1.2847543249671969
OG0006441,G_corn,Male,LG2,"LG2,Neo-X",18.664817235,A_MRCA,15.4445037826791,0.27322786262815923,1.2085087030075035
OG0006441,T_brev,Male,LG2,"LG2,Neo-X",0.167638439,B_Tbrev_anc,14.5075120285558,-6.435303322152067,0.01155528519776717
OG0006441,T_conf,Male,LG2,"LG2,Neo-X",15.6919595,C_Tconf_anc,17.429927497695,-0.15154105135368373,0.9002882830163902
OG0006441,T_cast,Male,LG2,"LG2,Neo-X",24.474654845,D_Tfree-Tcast_anc,26.0161720223911,-0.08812018755263201,0.9407477327539049
OG0006441,T_frem,Male,LG2,"LG2,Neo-X",29.843549095,D_Tfree-Tcast_anc,26.0161720223911,0.1980104140824204,1.1471153046387772
OG0007783,G_corn,Male,LG6,Autosome,0.0842320395,A_MRCA,4.15512794456118,-5.624379992548896,0.020271828117893416
OG0007783,T_brev,Male,LG6,Autosome,9.927781781,B_Tbrev_anc,5.3396076392902,0.8947376695932455,1.859271776440808
OG0007783,T_conf,Male,LG6,Autosome,2.4466986415,C_Tconf_anc,4.92711460245825,-1.0099066120544287,0.4965783909875541
OG0007783,T_cast,Male,LG6,Autosome,4.5431466755,D_Tfree-Tcast_anc,5.86782616362919,-0.3691342477479941,0.7742469781501009
OG0007783,T_frem,Male,LG6,Autosome,7.442945157,D_Tfree-Tcast_anc,5.86782616362919,0.34304747425144927,1.2684331385162602
OG0007991,G_corn,Male,LG6,Autosome,5.5781797345,A_MRCA,10.8688116288708,-0.9623278826983735,0.5132281177532504
OG0007991,T_brev,Male,LG6,Autosome,9.141637989,B_Tbrev_anc,12.4081892492557,-0.44076800146216644,0.7367423082742195
OG0007991,T_conf,Male,LG6,Autosome,5.1979331025,C_Tconf_anc,14.1092513470665,-1.4406314673962888,0.3684060177707954
OG0007991,T_cast,Male,LG6,Autosome,21.30689355,D_Tfree-Tcast_anc,25.3458631369363,-0.250430024854975,0.8406458061769322
OG0007991,T_frem,Male,LG10,Autosome,32.376282615,D_Tfree-Tcast_anc,25.3458631369363,0.3531870527599805,1.2773793672000988
OG0008300,G_corn,Male,LG4,Autosome,23.68474862,A_MRCA,20.9194109737366,0.17911612953754433,1.132190033922808
OG0008300,T_brev,Male,LG4,Autosome,19.75647205,B_Tbrev_anc,20.1148003014282,-0.025932069859470025,0.9821858409699071
OG0008300,T_conf,Male,LG4,Autosome,16.578993665,C_Tconf_anc,19.7263911727952,-0.25077060886619396,0.8404473742700693
OG0008300,T_cast,Male,LG4,Autosome,23.775677985,D_Tfree-Tcast_anc,21.2533000833033,0.16179960986462916,1.1186817055144436
OG0008300,T_frem,Male,LG4,Autosome,19.137421185,D_Tfree-Tcast_anc,21.2533000833033,-0.15129043538014134,0.9004446890595806
OG0008620,G_corn,Male,LG7,Autosome,1.150582628,A_MRCA,1.18627583081799,-0.04407490880339513,0.9699115484858375
OG0008620,T_brev,Male,LG7,Autosome,1.157481562,B_Tbrev_anc,1.19666122876569,-0.04802557502174712,0.9672591826125242
OG0008620,T_conf,Male,LG7,Autosome,1.236215112,C_Tconf_anc,1.21229249601133,0.028191979137917194,1.0197333696837851
OG0008620,T_cast,Male,LG7,Autosome,1.0076135425,D_Tfree-Tcast_anc,1.23198379758701,-0.2900408651938606,0.8178788913243287
OG0008620,T_frem,Male,LG7,Autosome,1.4615963395,D_Tfree-Tcast_anc,1.23198379758701,0.24656164334056413,1.1863762675797473
OG0009837,G_corn,Male,LG2,"LG2,Neo-X",0.270533875,A_MRCA,0.331137407910495,-0.291620745266356,0.8169837310350756
OG0009837,T_brev,Male,LG2,"LG2,Neo-X",0.4444787845,B_Tbrev_anc,0.348770787843418,0.3498353504539686,1.274415174643441
OG0009837,T_conf,Male,LG2,"LG2,Neo-X",0.4522592195,C_Tconf_anc,0.335987540065332,0.42874218075786447,1.3460594979565588
OG0009837,T_cast,Male,LG2,"LG2,Neo-X",0.0448537495,D_Tfree-Tcast_anc,0.212607838270259,-2.2448942902669504,0.21096940670166459
OG0009837,T_frem,Male,LG2,"LG2,Neo-X",0.3475153535,D_Tfree-Tcast_anc,0.212607838270259,0.7088819325640668,1.634536884092917
OG0009838,G_corn,Male,LG7,Autosome,0.7091603935,A_MRCA,1.5780875772787,-1.1539934018298537,0.4493796185398638
OG0009838,T_brev,Male,LG4,Autosome,0.2380733395,B_Tbrev_anc,1.83091315410182,-2.9430853858227723,0.13002983727908723
OG0009838,T_conf,Male,LG3,Autosome,0.9860505005,C_Tconf_anc,2.36634356894611,-1.2629261123648885,0.41669794422081907
