OrthoID,species,gender,chrom_num,chrom_name,Robust_TMM,ancestral_node,Robust_ACE,Robust_log2(Current:Ancestral),Robust(Current:Ancestral)
OG0000073,G_corn,Male,LG10,Autosome,4.08452309025569,A_MRCA,2.04167707671812,1.0004129394489492,2.000572537563741
OG0000073,T_brev,Male,LG10,Autosome,0.144501898319531,B_Tbrev_anc,1.44728466803848,-3.3241883644511483,0.09984345271575075
OG0000073,T_conf,Male,LG10,Autosome,0.0804837097526863,C_Tconf_anc,1.41197517774236,-4.132874111175456,0.0570007964880612
OG0000073,T_cast,Male,LG10,Autosome,2.19067146953334,D_Tfree-Tcast_anc,2.37636269913206,-0.11738190582787517,0.921859053895038
OG0000073,T_frem,Male,LG10,Autosome,2.8187965304879,D_Tfree-Tcast_anc,2.37636269913206,0.24632429505748854,1.1861811042217731
OG0000903,G_corn,Male,LG4,Autosome,0.499056072759798,A_MRCA,0.617180672254602,-0.3064909604365315,0.8086061265280926
OG0000903,T_brev,Male,LG4,Autosome,0.590535929539908,B_Tbrev_anc,0.651550548766464,-0.14185227156449204,0.9063547420195243
OG0000903,T_conf,Male,LG4,Autosome,0.487962931247359,C_Tconf_anc,0.686641524108543,-0.49278555008188785,0.7106516488073954
OG0000903,T_cast,Male,LG4,Autosome,0.676537815168719,D_Tfree-Tcast_anc,0.930166434729536,-0.4593183047367351,0.7273298518511212
OG0000903,T_frem,Male,LG4,Autosome,1.24862710339796,D_Tfree-Tcast_anc,0.930166434729536,0.42478190126109583,1.3423695553592219
OG0006441,G_corn,Male,LG2,"LG2,Neo-X",1.24239266845695,A_MRCA,0.922354233468211,0.42972838688375736,1.3469799599502452
OG0006441,T_brev,Male,LG2,"LG2,Neo-X",0.129890270375878,B_Tbrev_anc,0.829234921007844,-2.674487505351755,0.15663868836832226
OG0006441,T_conf,Male,LG2,"LG2,Neo-X",0.906979078269432,C_Tconf_anc,0.94374723628563,-0.05733124268977577,0.9610402482756836
OG0006441,T_cast,Male,LG2,"LG2,Neo-X",1.07502138117672,D_Tfree-Tcast_anc,1.25544685105244,-0.22383559989703442,0.856285855729799
OG0006441,T_frem,Male,LG2,"LG2,Neo-X",1.51885407700336,D_Tfree-Tcast_anc,1.25544685105244,0.2747823165735893,1.2098115310338355
OG0007783,G_corn,Male,LG6,Autosome,0.0682360707323235,A_MRCA,0.287853911656683,-2.0767303384025895,0.2370510455793533
OG0007783,T_brev,Male,LG6,Autosome,0.658654059517963,B_Tbrev_anc,0.351754556439008,0.9049518155757735,1.8724819549911627
OG0007783,T_conf,Male,LG6,Autosome,0.205821360032369,C_Tconf_anc,0.315109127759744,-0.6144588333457143,0.653174858804148
OG0007783,T_cast,Male,LG6,Autosome,0.207696285315252,D_Tfree-Tcast_anc,0.310963642689936,-0.5822704993476034,0.6679117967573702
OG0007783,T_frem,Male,LG6,Autosome,0.413127374604147,D_Tfree-Tcast_anc,0.310963642689936,0.40984074616837973,1.3285391534214794
OG0007991,G_corn,Male,LG6,Autosome,0.415413237961726,A_MRCA,0.637004510703879,-0.6167563971745023,0.652135473111017
OG0007991,T_brev,Male,LG6,Autosome,0.616064073315642,B_Tbrev_anc,0.701479350938905,-0.1873202314331207,0.8782355068485797
OG0007991,T_conf,Male,LG6,Autosome,0.351462076181194,C_Tconf_anc,0.760267172517467,-1.1131374719188953,0.46228758637230155
OG0007991,T_cast,Male,LG6,Autosome,0.937175371457473,D_Tfree-Tcast_anc,1.22823273655221,-0.39019301496246434,0.7630275138962926
